Poll Period,Approve,Disapprove,No opinion
2022 Sep 1-16,40,58,3
2022 Jul 5-26,43,55,2
2021 Sep 1-17,40,53,6
2021 Jul 6-21,49,44,7
2020 Aug 31-Sep 13,53,43,4
2020 Jul 1-23,58,38,4
2019 Sep 3-15,54,42,4
2018 Sep 4-12,51,40,8
2018 Jul 1-11,53,41,7
2017 Sep 6-10,49,40,10
2016 Sep 7-11,45,47,8
2016 Jul 13-17,42,52,6
2015 Sep 9-13,45,50,5
2015 Jul 8-12,49,46,5
2014 Sep 4-7,44,48,8
2014 Jul 7-10,47,46,7
2013 Sep 5-8,46,45,9
2013 Jul 10-14,43,46,11
2012 Sep 6-9,49,40,11
2012 Jul 9-12,46,45,9
2011 Sep 8-11,46,40,14
2010 Sep 13-16,51,39,10
2009 Aug 31-Sep 2,61,28,11
2009 Jun 14-17,59,30,11
2008 Sep 8-11,50,39,11
2008 Jun 9-12,48,38,14
2007 Sep 14-16,51,39,10
2007 May 10-13,51,36,13
2006 Sep 7-10,60,32,8
2005 Sep 12-15,56,36,8
2005 Jun 24-26,42,48,10
2004 Sep 13-15,51,39,10
2003 Sep 8-10,52,38,10
2003 Jul 7-9,59,33,8
2002 Sep 5-8,60,29,11
2001 Sep 7-10,58,28,14
2001 Jun 11-17,62,25,13
2001 Jan 10-14,59,34,7
2000 Aug 29-Sep 5,62,29,9
