Variables,Field Type,Mean,SD,DF
Participation (total),Team,75.67,9.38,263
',Individual,80.50,8.40,263
Achievement,Team,15.03,2.71,263
',Individual,15.72,3.03,263
Teamwork,Team,8.11,1.21,263
',Individual,7.68,1.23,263
Energy Release,Team,11.88,2.05,263
',Individual,12.85,2.07,263
Fitness,Team,7.79,1.27,263
',Individual,8.40,0.94,263
Situational Factors,Team,7.48,1.44,263
',Individual,8.33,0.98,263
Skill Development,Team,7.94,1.28,263
',Individual,8.42,1.07,263
Friendship,Team,9.57,1.78,263
',Individual,10.50,1.51,263
Fun,Team,7.74,1.20,263
',Individual,8.18,1.04,263
