state,Politics,salary
Alabama,R4,46879
Alaska,R4,58395
Arizona,R3,46358
Arkansas,R4,45738
California,D4,66995
Colorado,D4,48485
Connecticut,D4,63152
Delaware,D4,56667
District of Columbia,D4,62557
Florida,2B,46921
Georgia,R3,52879
Hawaii,D4,54964
Idaho,R4,45178
Illinois,D4,61344
Indiana,R3,49569
Iowa,2B,48638
Kansas,R4,46237
Kentucky,R4,47875
Louisiana,R4,48627
Maine,D4,44731
Maryland,D4,62849
Massachusetts,D4,67572
Michigan,D3,57327
Minnesota,D4,52414
Mississippi,R4,44498
Missouri,R4,44249
Montana,R4,44426
Nebraska,R4,44968
Nevada,D4,50067
New Hampshire,D4,50128
New Jersey,D4,63111
New Mexico,D4,45752
New York,D4,69118
North Carolina,R3,48454
North Dakota,R4,41654
Ohio,2B,54656
Oklahoma,R4,43846
Oregon,D4,54085
Pennsylvania,D3,57787
Rhode Island,D4,58440
South Carolina,R4,47421
South Dakota,R4,35070
Tennessee,R4,45549
Texas,R4,47157
Utah,R4,45923
Vermont,D4,47884
Virginia,D4,48385
Washington,D4,52567
West Virginia,R4,44701
Wisconsin,D3,51121
Wyoming,R4,54602
