Student,Age,Response
1,13,Never
2,13,Sometimes
3,15,Never
4,17,Often
5,16,Sometimes
6,16,Sometimes
7,15,Never
8,15,Never
9,13,Rarely
10,17,Never
11,16,Rarely
12,17,Never
13,15,Rarely
14,14,Never
15,14,Rarely
16,14,Rarely
17,15,Rarely
18,14,Sometimes
19,15,Rarely
20,14,Never
21,13,Never
22,14,Often
23,15,Never
24,15,Rarely
25,15,Sometimes
26,13,Rarely
27,14,Sometimes
28,14,Never
29,16,Never
30,17,Never
31,14,Rarely
32,13,Never
33,13,Never
34,17,Never
35,13,Rarely
36,15,Rarely
37,13,Rarely
38,17,Rarely
39,16,Rarely
40,13,Never
41,13,Rarely
42,13,Never
43,13,Never
44,16,Sometimes
45,15,Rarely
46,13,Rarely
47,14,Sometimes
48,13,Rarely
49,13,Never
50,17,Often
51,13,Often
52,16,Rarely
53,13,Never
54,14,Sometimes
55,17,Never
56,13,Sometimes
57,13,Often
58,16,Sometimes
59,14,Rarely
60,14,Never
61,14,Often
62,16,Never
63,14,Rarely
64,16,Rarely
65,16,Sometimes
66,17,Never
67,16,Never
68,16,Never
69,14,Sometimes
70,14,Never
71,14,Sometimes
72,14,Never
73,14,Rarely
74,15,Sometimes
75,16,Rarely
76,17,Rarely
77,16,Never
78,17,Often
79,16,Rarely
80,17,Rarely
81,15,Often
82,17,Sometimes
83,13,Sometimes
84,15,Often
85,16,Never
86,14,Never
87,17,Rarely
88,13,Never
89,17,Never
90,13,Never
91,16,Sometimes
92,15,Sometimes
93,13,Often
94,17,Never
95,14,Never
96,17,Rarely
97,16,Sometimes
98,15,Sometimes
99,16,Often
100,16,Never
101,15,Never
102,14,Rarely
103,15,Rarely
104,14,Sometimes
105,13,Never
106,14,Rarely
107,14,Never
108,15,Never
109,17,Sometimes
110,13,Rarely
111,15,Rarely
112,15,Sometimes
113,15,Never
114,16,Often
115,15,Sometimes
116,14,Rarely
117,13,Never
118,15,Sometimes
119,13,Sometimes
120,16,Sometimes
121,15,Rarely
122,15,Sometimes
123,14,Sometimes
124,14,Rarely
125,17,Sometimes
126,15,Never
127,17,Never
128,13,Rarely
129,15,Rarely
130,13,Rarely
131,13,Sometimes
132,15,Rarely
133,13,Often
134,14,Often
135,17,Never
136,17,Rarely
137,17,Rarely
138,13,Never
139,13,Sometimes
140,15,Never
141,14,Rarely
142,17,Sometimes
143,14,Sometimes
144,17,Never
145,17,Rarely
146,14,Never
147,16,Sometimes
148,14,Never
149,17,Rarely
150,16,Sometimes
151,16,Rarely
152,14,Sometimes
153,17,Sometimes
154,15,Sometimes
155,17,Never
156,17,Never
157,17,Never
158,16,Sometimes
159,17,Never
160,14,Never
161,14,Never
162,17,Sometimes
163,14,Rarely
164,16,Sometimes
165,16,Never
166,17,Sometimes
167,13,Sometimes
168,14,Rarely
169,15,Rarely
170,13,Rarely
171,13,Rarely
172,14,Never
173,15,Never
174,17,Never
175,13,Rarely
176,17,Sometimes
177,15,Rarely
178,15,Never
179,13,Never
180,15,Often
181,13,Never
182,13,Rarely
183,16,Never
184,16,Often
185,13,Sometimes
186,13,Never
187,15,Sometimes
188,14,Rarely
189,16,Rarely
190,13,Rarely
191,13,Rarely
192,15,Rarely
193,13,Never
194,16,Rarely
195,14,Never
196,17,Rarely
197,16,Rarely
198,14,Never
199,15,Often
200,13,Rarely
201,16,Often
202,15,Never
203,15,Never
204,13,Never
205,13,Never
206,13,Never
207,17,Often
208,15,Never
209,14,Never
210,16,Sometimes
211,13,Rarely
212,16,Never
213,16,Never
214,14,Rarely
215,16,Never
216,13,Sometimes
217,17,Rarely
218,17,Never
219,14,Never
220,15,Rarely
221,14,Sometimes
222,14,Never
223,13,Sometimes
224,13,Rarely
225,17,Rarely
226,17,Sometimes
227,16,Never
228,13,Never
229,17,Never
230,17,Rarely
231,14,Never
232,13,Never
233,15,Rarely
234,14,Never
235,16,Never
236,16,Sometimes
237,14,Never
238,15,Rarely
239,16,Rarely
240,14,Never
241,13,Sometimes
242,16,Rarely
243,17,Never
244,14,Rarely
245,17,Never
246,16,Sometimes
247,14,Never
248,15,Never
249,17,Rarely
250,15,Never
251,15,Rarely
252,14,Often
253,16,Sometimes
254,16,Never
255,15,Never
256,16,Rarely
257,17,Never
258,17,Rarely
259,14,Rarely
260,15,Sometimes
261,14,Sometimes
262,15,Never
263,14,Rarely
264,15,Never
265,13,Sometimes
266,17,Sometimes
267,15,Rarely
268,14,Often
269,15,Never
270,17,Never
271,15,Never
272,15,Never
273,14,Never
274,15,Never
275,14,Rarely
276,15,Sometimes
277,14,Sometimes
278,14,Sometimes
279,14,Never
280,17,Rarely
281,17,Rarely
282,15,Often
283,17,Rarely
284,13,Never
285,17,Rarely
286,16,Sometimes
287,14,Never
288,15,Never
289,17,Never
290,17,Rarely
291,16,Never
292,16,Rarely
293,14,Sometimes
294,16,Never
295,16,Never
296,17,Sometimes
297,16,Often
298,13,Never
299,16,Rarely
300,15,Never
301,17,Never
302,14,Rarely
303,14,Rarely
304,15,Rarely
305,16,Never
306,15,Rarely
307,17,Never
308,14,Never
309,13,Often
310,16,Rarely
311,13,Often
312,16,Often
313,16,Rarely
314,13,Never
315,13,Never
316,13,Never
317,14,Never
318,16,Sometimes
319,17,Sometimes
320,14,Never
321,15,Sometimes
322,15,Often
323,16,Sometimes
324,15,Rarely
325,15,Rarely
326,13,Never
327,14,Never
328,15,Never
329,15,Sometimes
330,15,Never
331,13,Often
332,14,Rarely
333,13,Sometimes
334,14,Never
335,16,Never
336,16,Never
337,15,Never
338,13,Often
339,13,Rarely
340,15,Rarely
341,15,Rarely
342,13,Often
343,15,Rarely
344,13,Rarely
345,17,Often
346,13,Rarely
347,13,Rarely
348,13,Rarely
349,16,Rarely
350,17,Sometimes
351,14,Sometimes
352,15,Never
353,15,Sometimes
354,15,Rarely
355,14,Sometimes
356,17,Never
357,13,Never
358,15,Never
359,14,Never
360,15,Never
361,16,Rarely
362,13,Rarely
363,13,Sometimes
364,17,Never
365,13,Often
366,13,Rarely
367,15,Never
368,15,Rarely
369,14,Never
370,13,Rarely
371,14,Sometimes
372,14,Never
373,14,Often
374,17,Sometimes
375,13,Sometimes
376,13,Never
377,14,Rarely
378,13,Never
379,13,Rarely
380,15,Sometimes
381,13,Sometimes
382,15,Sometimes
383,13,Sometimes
384,14,Never
385,17,Rarely
386,15,Sometimes
387,16,Never
388,16,Rarely
389,15,Rarely
390,14,Never
391,14,Never
392,14,Rarely
393,16,Often
394,17,Never
395,13,Never
396,13,Never
397,16,Never
398,13,Sometimes
399,16,Sometimes
400,14,Rarely
401,17,Sometimes
402,15,Rarely
403,15,Rarely
404,13,Never
405,13,Rarely
406,13,Often
407,14,Never
408,13,Sometimes
409,14,Never
410,14,Never
411,14,Sometimes
412,13,Never
413,14,Never
414,16,Sometimes
415,13,Never
416,14,Rarely
417,15,Sometimes
418,17,Rarely
419,13,Rarely
420,15,Sometimes
421,17,Rarely
422,16,Rarely
423,17,Never
424,16,Sometimes
425,17,Sometimes
426,15,Never
427,15,Sometimes
428,15,Never
429,14,Often
430,17,Sometimes
431,14,Never
432,13,Never
433,13,Rarely
434,13,Never
435,13,Rarely
436,16,Rarely
437,17,Rarely
438,17,Never
439,14,Never
440,15,Rarely
441,15,Never
442,16,Rarely
443,15,Sometimes
444,17,Often
445,16,Rarely
446,16,Never
447,13,Never
448,17,Never
449,14,Never
450,15,Rarely
451,15,Never
452,15,Never
453,16,Rarely
454,16,Sometimes
455,16,Sometimes
456,17,Never
457,14,Never
458,17,Never
459,15,Rarely
460,17,Never
461,17,Sometimes
462,16,Sometimes
463,16,Sometimes
464,15,Never
465,16,Never
466,14,Sometimes
467,16,Sometimes
468,13,Never
469,13,Often
470,16,Never
471,17,Never
472,14,Never
473,16,Never
474,16,Never
475,14,Sometimes
476,17,Never
477,13,Never
478,17,Sometimes
479,17,Rarely
480,15,Never
481,16,Never
482,14,Never
483,13,Never
484,13,Never
485,16,Rarely
486,16,Rarely
487,16,Sometimes
488,14,Never
489,14,Sometimes
490,14,Rarely
491,13,Never
492,13,Rarely
493,15,Often
494,15,Never
495,17,Rarely
496,13,Never
497,15,Sometimes
498,15,Never
499,13,Never
500,17,Never
501,15,Never
502,16,Rarely
503,17,Never
504,17,Never
505,13,Sometimes
506,17,Never
507,13,Never
508,13,Never
509,13,Sometimes
510,13,Rarely
511,14,Often
512,16,Never
513,13,Rarely
514,13,Sometimes
515,15,Rarely
516,13,Sometimes
517,14,Rarely
518,15,Rarely
519,17,Never
520,17,Rarely
521,15,Never
522,13,Sometimes
523,17,Sometimes
524,14,Rarely
525,17,Sometimes
526,13,Never
527,13,Never
528,13,Rarely
529,14,Rarely
530,15,Never
531,17,Never
532,15,Rarely
533,13,Rarely
534,15,Rarely
535,15,Rarely
536,14,Never
537,13,Never
538,14,Sometimes
539,14,Rarely
540,15,Never
541,16,Sometimes
542,16,Rarely
543,14,Never
544,13,Sometimes
545,16,Sometimes
546,14,Never
547,15,Sometimes
548,13,Rarely
549,16,Rarely
550,15,Rarely
551,13,Rarely
552,16,Never
553,17,Never
