"file","w_pt","h_pt"
"l8_design_srs.png",360,360
"l8_design_systematic.png",840,230
"l8_design_stratified.png",360,360
"l8_design_cluster.png",360,360
"l8_design_two_stage.png",360,360
"l8_three_designs.png",860,330
"l8_bias_vs_n.png",540,330
"l8_heights_allocation.png",720,150
"l8_confounding.png",460,250
"l8_crd.png",840,250
"l8_rcbd.png",840,226
"l8_matched_pairs.png",840,230
"l8_sampling_vs_assignment.png",610,350
"l8_bullseye.png",440,360
"l8_frame_setup.png",440,360
"l8_frame_example.png",440,360
"l8_replacement.png",860,180
"l8_oxycontin_axes.png",450,320
