Observation,Species,Island,Bill Length (mm),Bill Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Year
1,Adelie,Torgersen,39.1,18.7,181,3750,male,2007
2,Adelie,Torgersen,39.5,17.4,186,3800,female,2007
3,Adelie,Torgersen,40.3,18.0,195,3250,female,2007
4,Adelie,Torgersen,NA,NA,NA,NA,NA,2007
5,Adelie,Torgersen,36.7,19.3,193,3450,female,2007
6,Adelie,Torgersen,39.3,20.6,190,3650,male,2007
7,Adelie,Torgersen,38.9,17.8,181,3625,female,2007
8,Adelie,Torgersen,39.2,19.6,195,4675,male,2007
9,Adelie,Torgersen,34.1,18.1,193,3475,NA,2007
10,Adelie,Torgersen,42.0,20.2,190,4250,NA,2007
11,Adelie,Torgersen,37.8,17.1,186,3300,NA,2007
12,Adelie,Torgersen,37.8,17.3,180,3700,NA,2007
13,Adelie,Torgersen,41.1,17.6,182,3200,female,2007
14,Adelie,Torgersen,38.6,21.2,191,3800,male,2007
15,Adelie,Torgersen,34.6,21.1,198,4400,male,2007
16,Adelie,Torgersen,36.6,17.8,185,3700,female,2007
17,Adelie,Torgersen,38.7,19.0,195,3450,female,2007
18,Adelie,Torgersen,42.5,20.7,197,4500,male,2007
19,Adelie,Torgersen,34.4,18.4,184,3325,female,2007
20,Adelie,Torgersen,46.0,21.5,194,4200,male,2007
