"Name","Platform","Year_of_Release","Genre","Global_Sales","Critic_Score"
"Wii Sports","Wii","2006","Sports",82.53,76
"Mario Kart Wii","Wii","2008","Racing",35.52,82
"Wii Sports Resort","Wii","2009","Sports",32.77,80
"New Super Mario Bros.","DS","2006","Platform",29.8,89
"Wii Play","Wii","2006","Misc",28.92,58
"New Super Mario Bros. Wii","Wii","2009","Platform",28.32,87
"Mario Kart DS","DS","2005","Racing",23.21,91
"Wii Fit","Wii","2007","Sports",22.7,80
"Kinect Adventures!","X360","2010","Misc",21.81,61
"Wii Fit Plus","Wii","2009","Sports",21.79,80
"Grand Theft Auto V","PS3","2013","Action",21.04,97
"Grand Theft Auto: San Andreas","PS2","2004","Action",20.81,95
"Brain Age: Train Your Brain in Minutes a Day","DS","2005","Misc",20.15,77
"Grand Theft Auto: Vice City","PS2","2002","Action",16.15,95
"Brain Age 2: More Training in Minutes a Day","DS","2005","Puzzle",15.29,77
"Gran Turismo 3: A-Spec","PS2","2001","Racing",14.98,95
"Call of Duty: Modern Warfare 3","X360","2011","Shooter",14.73,88
"Call of Duty: Black Ops","X360","2010","Shooter",14.61,87
"Call of Duty: Black Ops II","PS3","2012","Shooter",13.79,83
"Call of Duty: Modern Warfare 2","X360","2009","Shooter",13.47,94
"Grand Theft Auto III","PS2","2001","Action",13.1,97
"Super Smash Bros. Brawl","Wii","2008","Fighting",12.84,93
"Mario Kart 7","3DS","2011","Racing",12.66,85
"Animal Crossing: Wild World","DS","2005","Simulation",12.13,86
"Halo 3","X360","2007","Shooter",12.12,94
"Gran Turismo 4","PS2","2004","Racing",11.66,89
"Super Mario Galaxy","Wii","2007","Platform",11.35,97
"Grand Theft Auto IV","X360","2008","Action",11.01,98
"Gran Turismo","PS","1997","Racing",10.95,96
"Super Mario 3D Land","3DS","2011","Platform",10.81,90
"Gran Turismo 5","PS3","2010","Racing",10.7,84
"Call of Duty: Ghosts","X360","2013","Shooter",10.25,73
"Just Dance 3","Wii","2011","Misc",10.12,74
"New Super Mario Bros. 2","3DS","2012","Platform",9.9,78
"Halo: Reach","X360","2010","Shooter",9.86,91
"Final Fantasy VII","PS","1997","Role-Playing",9.72,92
"Halo 4","X360","2012","Shooter",9.71,87
"Gran Turismo 2","PS","1999","Racing",9.49,93
"Just Dance 2","Wii","2010","Misc",9.44,74
"Call of Duty 4: Modern Warfare","X360","2007","Shooter",9.31,94
"Animal Crossing: New Leaf","3DS","2012","Simulation",9.16,88
"Mario Party DS","DS","2007","Misc",8.91,72
"The Elder Scrolls V: Skyrim","X360","2011","Role-Playing",8.79,96
"FIFA 16","PS4","2015","Sports",8.57,82
"Halo 2","XB","2004","Shooter",8.49,95
"Wii Party","Wii","2010","Misc",8.38,68
"Mario Party 8","Wii","2007","Misc",8.27,62
"FIFA Soccer 13","PS3","2012","Action",8.16,88
"Final Fantasy X","PS2","2001","Role-Playing",8.05,92
"The Sims 3","PC","2009","Simulation",8.01,86
"Final Fantasy VIII","PS","1999","Role-Playing",7.86,90
"Pokémon Platinum Version","DS","2008","Role-Playing",7.72,83
"Grand Theft Auto: Liberty City Stories","PSP","2005","Action",7.69,88
"Call of Duty: Advanced Warfare","PS4","2014","Shooter",7.66,83
"FIFA 17","PS4","2016","Sports",7.59,85
"Super Mario Galaxy 2","Wii","2010","Platform",7.51,97
"Call of Duty: World at War","X360","2008","Shooter",7.38,84
"Battlefield 3","X360","2011","Shooter",7.32,84
"Need for Speed Underground","PS2","2003","Racing",7.2,85
"Just Dance","Wii","2009","Misc",7.2,49
"Fallout 4","PS4","2015","Role-Playing",7.16,87
"Tekken 3","PS","1998","Fighting",7.16,96
"The Legend of Zelda: Twilight Princess","Wii","2006","Action",7.15,95
"Crash Bandicoot 3: Warped","PS","1998","Platform",7.13,91
"Mario Kart 8","WiiU","2014","Racing",7.09,88
"Super Smash Bros. Melee","GC","2001","Fighting",7.07,92
"Need for Speed Underground 2","PS2","2004","Racing",6.9,82
"Medal of Honor: Frontline","PS2","2002","Shooter",6.83,88
"Just Dance 4","Wii","2012","Misc",6.76,74
"Gears of War 2","X360","2008","Shooter",6.75,93
"Uncharted 3: Drake's Deception","PS3","2011","Action",6.74,92
"Uncharted 2: Among Thieves","PS3","2009","Action",6.66,96
"Big Brain Academy","DS","2005","Misc",6.62,74
"Red Dead Redemption","PS3","2010","Action",6.49,95
"FIFA 14","PS3","2013","Sports",6.47,86
"Assassin's Creed III","PS3","2012","Action",6.45,85
"Donkey Kong Country Returns","Wii","2010","Platform",6.44,87
"Halo: Combat Evolved","XB","2001","Shooter",6.43,97
"Pokémon Emerald Version","GBA","2004","Role-Playing",6.41,76
"Kingdom Hearts","PS2","2002","Role-Playing",6.4,85
"Halo 3: ODST","X360","2009","Shooter",6.34,83
"Super Mario Sunshine","GC","2002","Platform",6.31,92
"World of Warcraft","PC","2004","Role-Playing",6.29,93
"Driver","PS","1999","Action",6.27,87
"Gears of War 3","X360","2011","Shooter",6.21,91
"Kinect Sports","X360","2010","Sports",6.19,73
"Gears of War","X360","2006","Shooter",6.09,94
"FIFA 15","PS4","2014","Sports",6.08,82
"Metal Gear Solid 2: Sons of Liberty","PS2","2001","Action",6.05,96
"Metal Gear Solid","PS","1998","Action",6.03,94
"Metal Gear Solid 4: Guns of the Patriots","PS3","2008","Action",5.99,94
"Final Fantasy XII","PS2","2006","Role-Playing",5.95,92
"The Last of Us","PS3","2013","Action",5.87,95
"LittleBigPlanet","PS3","2008","Platform",5.82,95
"Resident Evil 2","PS","1998","Action",5.82,89
"Dragon Quest IX: Sentinels of the Starry Skies","DS","2009","Role-Playing",5.78,87
"Tekken 2","PS","1996","Fighting",5.74,89
"Destiny","PS4","2014","Shooter",5.64,76
"LEGO Star Wars: The Complete Saga","Wii","2007","Action",5.64,80
"Cooking Mama","DS","2006","Simulation",5.63,67
"Assassin's Creed II","PS3","2009","Action",5.55,91
"Assassin's Creed","X360","2007","Adventure",5.54,81
"Forza Motorsport 3","X360","2009","Racing",5.49,92
"Super Mario Advance","GBA","2001","Platform",5.49,84
"Monster Hunter Freedom Unite","PSP","2008","Role-Playing",5.48,81
"Batman: Arkham City","PS3","2011","Action",5.48,96
"Mario Kart: Super Circuit","GBA","2001","Racing",5.47,93
"Crash Bandicoot: The Wrath of Cortex","PS2","2001","Platform",5.42,66
"Uncharted 4: A Thief's End","PS4","2016","Shooter",5.38,93
"Final Fantasy XIII","PS3","2009","Role-Playing",5.33,83
"Final Fantasy IX","PS","2000","Role-Playing",5.3,94
"Final Fantasy X-2","PS2","2003","Role-Playing",5.29,85
"Tomb Raider II","PS","1997","Action",5.24,85
"Madden NFL 2004","PS2","N/A","Sports",5.23,94
"New Super Mario Bros. U","WiiU","2012","Platform",5.22,84
"Dragon Quest VIII: Journey of the Cursed King","PS2","2004","Role-Playing",5.21,89
"Professor Layton and the Curious Village","DS","2007","Puzzle",5.19,85
"Diablo III","PC","2012","Role-Playing",5.14,88
"Medal of Honor: Rising Sun","PS2","2003","Shooter",5.13,68
"Guitar Hero II","PS2","2006","Misc",5.12,92
"Fable III","X360","2010","Role-Playing",5.1,80
"Resident Evil 5","PS3","2009","Action",5.09,84
"The Legend of Zelda: Phantom Hourglass","DS","2007","Action",5.08,90
"FIFA Soccer 11","PS3","2010","Sports",5.07,89
"Resident Evil","PS","1996","Action",5.05,91
"Grand Theft Auto: Vice City Stories","PSP","2006","Action",5.03,86
"Tony Hawk's Pro Skater","PS","1999","Sports",5.02,92
