"sample_order","year_id","year","jan_prcp_in","jan_class"
1,13,2003,6.47,"Very wet"
2,6,1996,4.75,"Very wet"
3,31,2021,3.98,"Very wet"
4,5,1995,3.77,"Very wet"
5,19,2009,3.82,"Very wet"
6,21,2011,3.83,"Very wet"
7,27,2017,2.55,"Dry"
8,7,1997,4.37,"Very wet"
9,1,1991,2.1,"Dry"
10,26,2016,4.52,"Very wet"
11,4,1994,2.42,"Dry"
12,18,2008,3.06,"Wet"
13,8,1998,3.51,"Wet"
14,23,2013,2.09,"Dry"
15,36,2026,2.08,"Dry"
16,29,2019,2.37,"Dry"
17,33,2023,1.45,"Very dry"
18,30,2020,4.72,"Very wet"
19,15,2005,1.8,"Very dry"
20,20,2010,2.93,"Wet"
21,2,1992,2.67,"Dry"
22,16,2006,6.87,"Very wet"
23,14,2004,3.81,"Very wet"
24,10,2000,2.21,"Dry"
