"sample_order","day_id","date","tmax_f","tmin_f"
1,142,"2025-07-18",92,49
2,30,"2021-07-30",104,54
3,8,"2021-07-08",85,48
4,27,"2021-07-27",89,51
5,82,"2023-07-20",96,47
6,29,"2021-07-29",97,53
7,3,"2021-07-03",92,46
8,72,"2023-07-10",93,54
9,61,"2022-07-30",98,56
10,21,"2021-07-21",87,52
11,102,"2024-07-09",100,54
12,65,"2023-07-03",82,37
13,154,"2025-07-30",100,56
14,2,"2021-07-02",89,54
15,57,"2022-07-26",95,55
16,126,"2025-07-02",93,49
17,140,"2025-07-16",86,50
18,68,"2023-07-06",90,45
19,35,"2022-07-04",68,51
20,88,"2023-07-26",80,38
21,17,"2021-07-17",85,48
22,152,"2025-07-28",93,45
23,127,"2025-07-03",86,41
24,110,"2024-07-17",91,55
25,115,"2024-07-22",102,55
26,137,"2025-07-13",96,46
27,50,"2022-07-19",85,49
28,70,"2023-07-08",92,50
29,13,"2021-07-13",95,46
30,23,"2021-07-23",85,38
