"loan_id","issue_month","term","grade","loan_amount","interest_rate"
2,"Feb-2018",36,"C",5000,12.61
3,"Feb-2018",36,"D",2000,17.09
4,"Jan-2018",36,"A",21600,6.72
5,"Mar-2018",36,"C",23000,14.07
6,"Jan-2018",36,"A",5000,6.72
9,"Feb-2018",36,"C",20000,13.59
10,"Mar-2018",36,"A",6400,6.71
13,"Feb-2018",36,"C",16000,13.59
15,"Jan-2018",36,"D",3000,19.03
19,"Feb-2018",36,"E",5000,26.77
21,"Jan-2018",36,"A",7000,6.08
22,"Mar-2018",36,"B",10000,11.98
24,"Mar-2018",36,"A",3500,6.71
25,"Mar-2018",36,"A",8000,7.96
27,"Mar-2018",36,"B",10000,11.98
28,"Feb-2018",36,"A",3200,7.34
29,"Jan-2018",36,"A",10000,5.32
30,"Mar-2018",36,"A",6000,6.07
31,"Feb-2018",36,"C",12000,12.62
36,"Jan-2018",36,"A",2400,6.08
37,"Jan-2018",36,"D",10000,21.45
39,"Jan-2018",36,"B",9500,10.42
40,"Feb-2018",36,"C",30000,12.61
44,"Feb-2018",36,"C",10000,15.05
46,"Jan-2018",36,"A",15000,6.72
47,"Mar-2018",36,"A",20000,6.71
48,"Feb-2018",36,"C",4500,15.05
50,"Jan-2018",36,"B",10000,10.42
54,"Mar-2018",36,"A",10000,6.07
55,"Mar-2018",36,"A",12000,6.07
56,"Mar-2018",36,"D",1925,17.47
57,"Mar-2018",36,"A",15000,7.34
58,"Feb-2018",36,"C",20000,13.59
59,"Jan-2018",36,"A",6000,6.72
60,"Feb-2018",36,"A",10000,5.31
61,"Jan-2018",36,"B",25000,9.93
62,"Mar-2018",36,"B",10000,9.92
63,"Feb-2018",36,"B",6000,9.93
65,"Feb-2018",36,"A",15000,7.97
66,"Mar-2018",36,"A",20000,5.31
69,"Mar-2018",36,"C",5500,12.61
70,"Jan-2018",36,"C",5000,12.62
71,"Mar-2018",36,"D",9600,17.47
72,"Jan-2018",36,"C",15000,12.62
73,"Mar-2018",36,"A",10000,6.71
75,"Feb-2018",36,"C",7200,12.62
77,"Jan-2018",36,"B",4200,10.91
78,"Feb-2018",36,"D",2400,17.47
79,"Jan-2018",36,"D",12800,18.06
80,"Jan-2018",36,"C",8000,16.02
81,"Feb-2018",36,"D",30000,19.03
82,"Jan-2018",36,"C",7000,12.62
83,"Feb-2018",36,"A",25000,6.07
86,"Mar-2018",36,"A",5000,7.96
89,"Mar-2018",36,"C",5000,12.61
90,"Mar-2018",36,"A",7000,7.96
93,"Feb-2018",36,"E",15000,22.91
94,"Jan-2018",36,"A",20000,7.97
96,"Jan-2018",36,"A",12000,6.08
97,"Feb-2018",36,"A",16500,5.32
98,"Feb-2018",36,"A",19200,5.32
99,"Jan-2018",36,"B",7050,9.93
101,"Feb-2018",36,"C",11200,15.05
102,"Mar-2018",36,"A",8000,7.96
105,"Feb-2018",36,"C",7200,13.59
106,"Mar-2018",36,"C",12000,15.04
107,"Mar-2018",36,"A",20000,5.31
108,"Feb-2018",36,"C",7200,14.08
109,"Jan-2018",36,"C",6000,13.59
110,"Feb-2018",36,"A",5000,7.97
112,"Jan-2018",36,"A",15600,6.08
114,"Feb-2018",36,"B",10000,10.42
115,"Mar-2018",36,"D",30000,17.47
116,"Mar-2018",36,"B",30000,10.9
117,"Jan-2018",36,"A",16000,6.08
118,"Mar-2018",36,"C",20000,12.61
119,"Feb-2018",36,"E",6275,23.87
120,"Feb-2018",36,"D",15000,18.06
122,"Feb-2018",36,"C",10000,16.02
123,"Feb-2018",36,"B",25000,9.93
124,"Mar-2018",36,"B",12000,9.92
125,"Jan-2018",36,"A",6000,7.35
126,"Feb-2018",36,"B",12000,10.91
128,"Mar-2018",36,"C",20000,14.07
129,"Mar-2018",36,"A",8500,7.34
131,"Feb-2018",36,"A",40000,6.72
132,"Mar-2018",36,"C",9000,16.01
133,"Mar-2018",36,"A",7200,7.34
134,"Feb-2018",36,"E",6100,23.88
135,"Jan-2018",36,"C",2250,15.05
136,"Feb-2018",36,"A",10000,6.72
137,"Feb-2018",36,"D",25000,21.45
140,"Feb-2018",36,"C",12000,15.05
141,"Jan-2018",36,"B",10000,9.44
142,"Feb-2018",36,"D",2200,17.09
143,"Mar-2018",36,"C",4800,16.01
145,"Jan-2018",36,"C",35000,12.62
147,"Mar-2018",36,"B",2400,10.41
148,"Jan-2018",36,"A",19600,5.32
151,"Feb-2018",36,"A",13000,5.32
154,"Feb-2018",36,"A",7000,6.08
