"sample_order","loan_id","issue_month","term","grade","loan_amount","interest_rate"
1,94,"Jan-2018",36,"A",20000,7.97
2,1981,"Mar-2018",36,"A",13000,7.97
3,594,"Feb-2018",36,"C",9525,15.05
4,1924,"Feb-2018",36,"A",6000,7.35
5,5976,"Feb-2018",36,"B",40000,9.93
6,2158,"Feb-2018",36,"A",20000,6.72
7,143,"Mar-2018",36,"C",4800,16.01
8,5381,"Jan-2018",36,"D",1000,17.09
9,3935,"Jan-2018",36,"B",2500,11.99
10,1424,"Mar-2018",36,"C",5525,16.01
11,7377,"Mar-2018",36,"A",7600,7.96
12,4470,"Jan-2018",36,"B",3600,11.99
13,3609,"Feb-2018",36,"B",34425,10.41
14,151,"Feb-2018",36,"A",13000,5.32
15,3814,"Mar-2018",36,"C",3200,13.58
16,9729,"Jan-2018",36,"B",4000,11.99
17,5731,"Feb-2018",36,"B",23100,9.44
18,4641,"Mar-2018",36,"B",8900,9.92
19,2468,"Jan-2018",36,"A",10000,6.08
20,5821,"Jan-2018",36,"A",22000,5.32
21,1115,"Jan-2018",36,"A",10000,7.35
22,1727,"Feb-2018",36,"A",20000,7.96
23,9154,"Mar-2018",36,"A",20000,7.34
24,7390,"Feb-2018",36,"C",12000,16.02
25,8867,"Jan-2018",36,"B",25000,9.44
26,9129,"Feb-2018",36,"A",8000,6.08
27,3660,"Jan-2018",36,"A",20000,7.97
28,5429,"Jan-2018",36,"E",30150,26.3
29,983,"Jan-2018",36,"A",24725,6.08
30,1470,"Mar-2018",36,"B",15000,9.92
