"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00106152","MOSCOW U OF I, ID US","2021-01-01","0.02","0.0","37","28"
"USC00106152","MOSCOW U OF I, ID US","2021-01-02","0.04","0.0","42","32"
"USC00106152","MOSCOW U OF I, ID US","2021-01-03","0.98","0.0","45","33"
"USC00106152","MOSCOW U OF I, ID US","2021-01-04","0.43","0.0","40","30"
"USC00106152","MOSCOW U OF I, ID US","2021-01-05","0.00","0.0","42","28"
"USC00106152","MOSCOW U OF I, ID US","2021-01-06","0.13","0.0","42","32"
"USC00106152","MOSCOW U OF I, ID US","2021-01-07","0.23","0.0","40","30"
"USC00106152","MOSCOW U OF I, ID US","2021-01-08","0.00","0.0","37","27"
"USC00106152","MOSCOW U OF I, ID US","2021-01-09","0.00","0.0","38","29"
"USC00106152","MOSCOW U OF I, ID US","2021-01-10","0.00","0.0","38","27"
"USC00106152","MOSCOW U OF I, ID US","2021-01-11","0.00","0.0","37","26"
"USC00106152","MOSCOW U OF I, ID US","2021-01-12","0.99","0.0","42","30"
"USC00106152","MOSCOW U OF I, ID US","2021-01-13","0.76","0.0","49","34"
"USC00106152","MOSCOW U OF I, ID US","2021-01-14","0.02","0.0","41","23"
"USC00106152","MOSCOW U OF I, ID US","2021-01-15","0.08","0.0","40","28"
"USC00106152","MOSCOW U OF I, ID US","2021-01-16","0.01","0.0","42","29"
"USC00106152","MOSCOW U OF I, ID US","2021-01-17","0.08","0.0","40","30"
"USC00106152","MOSCOW U OF I, ID US","2021-01-18","0.00","0.0","36","25"
"USC00106152","MOSCOW U OF I, ID US","2021-01-19","0.00","0.0","35","22"
"USC00106152","MOSCOW U OF I, ID US","2021-01-20","0.00","0.0","37","25"
"USC00106152","MOSCOW U OF I, ID US","2021-01-21","0.04","0.0","36","29"
"USC00106152","MOSCOW U OF I, ID US","2021-01-22","0.03","0.0","35","25"
"USC00106152","MOSCOW U OF I, ID US","2021-01-23","0.00","0.0","33","20"
"USC00106152","MOSCOW U OF I, ID US","2021-01-24","0.00","0.0","33","18"
