"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES"
"USC00106152","MOSCOW U OF I, ID US","1893-12","1.25",",a,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-01",,
"USC00106152","MOSCOW U OF I, ID US","1894-02","3.10",",a,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-03","3.43",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-04","1.38",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-05","1.53",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-06","1.23",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-07","0.12",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-08","0.25",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-09","0.90",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-10","3.80",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-11","2.21",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1894-12","1.15",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-01","2.13",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-02","0.94",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-03","1.16",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-04","1.30",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-05","2.17",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-06","0.40",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-07","0.89",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-08","0.32","1,,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-09","3.33",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-10","0.00","1,T,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-11","1.77",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1895-12","1.83",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-01","1.73",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-02","1.27",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-03","1.11",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-04","0.57",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-05","3.48",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-06","2.21",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-07","0.17",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-08","1.33",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-09","0.81",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-10","1.07",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-11","5.52",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1896-12","3.14","1,,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-01","1.01",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-02","1.43","1,,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-03","1.15","2,,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-04","0.40",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-05","1.20",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-06","2.72",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-07","0.85",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-08","0.35",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-09","1.67",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-10","1.10","1,,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-11","4.84",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1897-12","2.57",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-01","2.19",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-02","2.04",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-03","1.81",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-04","1.02",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-05","2.09",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-06","1.31",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-07","0.79",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-08","1.29",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-09","1.30",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-10","0.83",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-11","3.26",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1898-12","1.71",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-01","4.30",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-02","2.35",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-03","1.61",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-04","2.95",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-05","2.12",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-06","1.24",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-07","0.47",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-08","2.39",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-09","1.38",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-10","2.69",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-11","4.13",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1899-12","2.51","1,,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-01","2.42","2,,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-02","2.63",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-03","2.48",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-04","2.08",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-05","3.27",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-06","0.29",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-07","0.35",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-08","0.78",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-09","0.79",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-10","3.24","5,,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-11","2.14",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1900-12","5.54",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-01","2.93",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-02","3.06",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-03","2.29",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-04","1.83",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-05","2.40",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-06","2.20",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-07","0.59",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-08","0.17",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-09","1.26",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-10","0.71",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-11","2.95",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1901-12","3.10",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-01","2.29",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-02","3.50",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-03","1.19",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-04","1.21",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-05","3.37",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-06","0.59",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-07","2.33",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-08","0.27",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-09","1.30",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-10","1.24",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-11","6.59",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1902-12","3.72",",,,0"
"USC00106152","MOSCOW U OF I, ID US","1903-01","3.80",",,,0"
