"year","jan_prcp_in","era"
1895,2.13,"historical"
1896,1.73,"historical"
1897,1.01,"historical"
1898,2.19,"historical"
1899,4.3,"historical"
1900,2.42,"historical"
1901,2.93,"historical"
1902,2.29,"historical"
1903,3.8,"historical"
1904,1.22,"historical"
1905,0.78,"historical"
1906,1.96,"historical"
1907,5.77,"historical"
1908,1.47,"historical"
1909,4.11,"historical"
1910,2.58,"historical"
1911,1,"historical"
1912,2.77,"historical"
1913,4.32,"historical"
1914,2.68,"historical"
1915,1.36,"historical"
1916,2.67,"historical"
1917,2.86,"historical"
1918,3.21,"historical"
1919,2.26,"historical"
1920,2.79,"historical"
1921,3.95,"historical"
1922,2.04,"historical"
1923,3.93,"historical"
1924,2.34,"historical"
1925,4.07,"historical"
1926,2.04,"historical"
1928,3.2,"historical"
1929,3.63,"historical"
1930,1.35,"historical"
1931,2.57,"historical"
1932,3.48,"historical"
1933,5.13,"historical"
1934,2.96,"historical"
1935,2.72,"historical"
1936,5.12,"historical"
1937,3.6,"historical"
1938,1.61,"historical"
1939,1.4,"historical"
1940,2.19,"historical"
1941,1.79,"historical"
1942,1.19,"historical"
1943,2.56,"historical"
1944,0.67,"historical"
1945,2.43,"historical"
1946,3.65,"historical"
1947,2.69,"historical"
1948,3.04,"historical"
1949,1.2,"historical"
1950,4.08,"historical"
1951,2.19,"historical"
1952,1.67,"historical"
1953,7.03,"historical"
1954,4.01,"historical"
1955,1.11,"historical"
1956,3.5,"historical"
1957,1.87,"historical"
1958,2.71,"historical"
1959,4.77,"historical"
1960,1.22,"historical"
1961,1.85,"historical"
1962,1.01,"historical"
1964,7.25,"historical"
1965,3.48,"historical"
1966,3.34,"historical"
1967,3.46,"historical"
1968,0.96,"historical"
1969,4.83,"historical"
1970,7.67,"historical"
1971,2.89,"historical"
1972,4.3,"historical"
1973,2.57,"historical"
1974,6.7,"historical"
1975,4.96,"historical"
1976,1.87,"historical"
1977,0.77,"historical"
1978,3.04,"historical"
1979,1.08,"historical"
1980,3.65,"historical"
1981,1.84,"historical"
1982,3.76,"historical"
1983,2.81,"historical"
1984,2.17,"historical"
1985,0.45,"historical"
1986,4.41,"historical"
1987,1.8,"historical"
1988,2.18,"historical"
1989,3.35,"historical"
1990,4.51,"historical"
1991,2.1,"recent"
1992,2.67,"recent"
1993,1.59,"recent"
1994,2.42,"recent"
1995,3.77,"recent"
1996,4.75,"recent"
1997,4.37,"recent"
1998,3.51,"recent"
1999,3.42,"recent"
2000,2.21,"recent"
2001,1.39,"recent"
2002,3.63,"recent"
2003,6.47,"recent"
2004,3.81,"recent"
2005,1.8,"recent"
2006,6.87,"recent"
2007,2.19,"recent"
2008,3.06,"recent"
2009,3.82,"recent"
2010,2.93,"recent"
2011,3.83,"recent"
2012,3.92,"recent"
2013,2.09,"recent"
2014,2.78,"recent"
2015,2.61,"recent"
2016,4.52,"recent"
2017,2.55,"recent"
2018,3.72,"recent"
2019,2.37,"recent"
2020,4.72,"recent"
2021,3.98,"recent"
2022,2.89,"recent"
2023,1.45,"recent"
2024,2.91,"recent"
2025,1.99,"recent"
2026,2.08,"recent"
