"day_id","date","tmax_f","tmin_f"
1,"2021-07-01",99,69
2,"2021-07-02",89,54
3,"2021-07-03",92,46
4,"2021-07-04",91,45
5,"2021-07-05",91,45
6,"2021-07-06",96,47
7,"2021-07-07",93,51
8,"2021-07-08",85,48
9,"2021-07-09",89,43
10,"2021-07-10",94,50
11,"2021-07-11",92,45
12,"2021-07-12",93,45
13,"2021-07-13",95,46
14,"2021-07-14",95,51
15,"2021-07-15",92,52
16,"2021-07-16",86,45
17,"2021-07-17",85,48
18,"2021-07-18",91,45
19,"2021-07-19",89,52
20,"2021-07-20",88,55
21,"2021-07-21",87,52
22,"2021-07-22",80,42
23,"2021-07-23",85,38
24,"2021-07-24",92,43
25,"2021-07-25",96,45
26,"2021-07-26",95,46
27,"2021-07-27",89,51
28,"2021-07-28",92,61
29,"2021-07-29",97,53
30,"2021-07-30",104,54
31,"2021-07-31",105,58
32,"2022-07-01",82,45
33,"2022-07-02",84,46
34,"2022-07-03",75,45
35,"2022-07-04",68,51
36,"2022-07-05",82,45
37,"2022-07-06",78,53
38,"2022-07-07",77,53
39,"2022-07-08",79,50
40,"2022-07-09",79,50
41,"2022-07-10",77,52
42,"2022-07-11",83,47
43,"2022-07-12",90,50
44,"2022-07-13",87,60
45,"2022-07-14",85,45
46,"2022-07-15",85,48
47,"2022-07-16",83,46
48,"2022-07-17",81,48
49,"2022-07-18",77,49
50,"2022-07-19",85,49
51,"2022-07-20",89,48
52,"2022-07-21",90,48
53,"2022-07-22",87,45
54,"2022-07-23",85,43
55,"2022-07-24",87,52
56,"2022-07-25",92,50
57,"2022-07-26",95,55
58,"2022-07-27",95,57
59,"2022-07-28",97,56
60,"2022-07-29",99,57
61,"2022-07-30",98,56
62,"2022-07-31",98,55
63,"2023-07-01",87,49
64,"2023-07-02",81,44
65,"2023-07-03",82,37
66,"2023-07-04",84,38
67,"2023-07-05",87,40
68,"2023-07-06",90,45
69,"2023-07-07",91,48
70,"2023-07-08",92,50
71,"2023-07-09",96,50
72,"2023-07-10",93,54
73,"2023-07-11",82,44
74,"2023-07-12",87,42
75,"2023-07-13",84,51
76,"2023-07-14",89,46
77,"2023-07-15",93,50
78,"2023-07-16",97,51
79,"2023-07-17",93,42
80,"2023-07-18",82,41
81,"2023-07-19",92,42
82,"2023-07-20",96,47
83,"2023-07-21",97,52
84,"2023-07-22",96,48
85,"2023-07-23",97,47
86,"2023-07-24",94,57
87,"2023-07-25",83,52
88,"2023-07-26",80,38
89,"2023-07-27",85,40
90,"2023-07-28",90,41
91,"2023-07-29",91,45
92,"2023-07-30",85,50
93,"2023-07-31",86,43
94,"2024-07-01",75,42
95,"2024-07-02",77,43
96,"2024-07-03",79,42
97,"2024-07-04",84,43
98,"2024-07-05",89,44
99,"2024-07-06",88,46
100,"2024-07-07",93,47
101,"2024-07-08",97,51
102,"2024-07-09",100,54
103,"2024-07-10",100,54
104,"2024-07-11",97,54
105,"2024-07-12",92,45
106,"2024-07-13",97,48
107,"2024-07-14",94,49
108,"2024-07-15",91,45
109,"2024-07-16",94,45
110,"2024-07-17",91,55
111,"2024-07-18",97,56
112,"2024-07-19",96,51
113,"2024-07-20",100,48
114,"2024-07-21",105,58
115,"2024-07-22",102,55
116,"2024-07-23",98,55
117,"2024-07-24",91,47
118,"2024-07-25",86,53
119,"2024-07-26",82,37
120,"2024-07-27",84,36
121,"2024-07-28",79,51
122,"2024-07-29",83,43
123,"2024-07-30",81,57
124,"2024-07-31",91,51
125,"2025-07-01",95,46
126,"2025-07-02",93,49
127,"2025-07-03",86,41
128,"2025-07-04",79,35
129,"2025-07-05",79,41
130,"2025-07-06",85,42
131,"2025-07-07",91,44
132,"2025-07-08",97,46
133,"2025-07-09",94,45
134,"2025-07-10",85,49
135,"2025-07-11",87,42
136,"2025-07-12",90,41
137,"2025-07-13",96,46
138,"2025-07-14",96,51
139,"2025-07-15",89,54
140,"2025-07-16",86,50
141,"2025-07-17",90,44
142,"2025-07-18",92,49
143,"2025-07-19",85,51
144,"2025-07-20",78,49
145,"2025-07-21",73,54
146,"2025-07-22",79,43
147,"2025-07-23",87,49
148,"2025-07-24",91,47
149,"2025-07-25",89,46
150,"2025-07-26",84,49
151,"2025-07-27",88,46
152,"2025-07-28",93,45
153,"2025-07-29",96,49
154,"2025-07-30",100,56
155,"2025-07-31",93,56
