"STATION","DATE","MLY-PRCP-AVGNDS-GE001HI","MLY-TMAX-NORMAL"
"USC00106152","01","    16.0","    37.4"
"USC00106152","02","    13.9","    42.0"
"USC00106152","03","    15.5","    50.1"
"USC00106152","04","    13.4","    58.0"
"USC00106152","05","    11.4","    67.3"
"USC00106152","06","     9.3","    73.4"
"USC00106152","07","     4.4","    84.4"
"USC00106152","08","     3.6","    85.6"
"USC00106152","09","     5.5","    76.2"
"USC00106152","10","    10.9","    60.5"
"USC00106152","11","    16.1","    44.9"
"USC00106152","12","    15.9","    36.4"
